Datum,Tagesertrag,Einsparung,Netzeinspeisung,Eigenverbrauch Elektrolyseur,Eigenverbrauch Batterie,Produktionsrate,Wassernutzung,Energieverbrauch,EL-Tank,SoC,Leistung
01.01.2024 12:48:49,33.79,2930,24.93,4.57,4.29,243.66,0.09,0.85,509,43,110.2
01.01.2024 12:48:50,39.32,2931,26.97,5.43,6.92,126.58,0.64,0.35,637,29,809.5
01.01.2024 12:48:51,41.75,2932,0.6,10.79,30.36,430.29,0.77,0.0,559,8,590.6
01.01.2024 12:48:52,41.76,2933,17.95,16.55,7.26,149.29,0.07,0.03,545,0,74.0
01.01.2024 12:48:53,23.33,2934,7.06,0.71,15.56,812.31,0.36,0.72,29,29,863.9
01.01.2024 12:48:54,11.13,2935,5.5,4.44,1.19,512.39,0.99,0.33,165,26,96.3
01.01.2024 12:48:55,13.17,2936,8.97,1.84,2.36,441.57,0.1,0.9,591,10,306.1
01.01.2024 12:48:56,1.26,2937,0.42,0.09,0.75,651.06,0.09,0.06,183,19,808.1
01.01.2024 12:48:57,25.06,2938,2.49,7.97,14.6,775.28,0.32,0.89,888,83,675.3
01.01.2024 12:48:58,83.7,2939,0.18,0.64,82.88,606.76,0.15,0.44,938,66,859.3
01.01.2024 12:48:59,35.49,2940,31.5,2.94,1.05,35.84,0.4,0.01,502,2,679.4
01.01.2024 12:49:00,40.88,2941,3.77,23.27,13.84,158.14,0.55,0.51,829,31,382.9
01.01.2024 12:49:01,44.02,2942,36.87,4.64,2.51,394.77,0.29,0.11,172,4,72.0
01.01.2024 12:49:02,14.75,2943,4.09,8.69,1.97,293.22,0.22,0.38,16,51,550.4
01.01.2024 12:49:03,63.81,2944,59.53,1.37,2.91,473.7,0.13,0.55,254,99,948.2
01.01.2024 12:49:04,62.09,2945,11.63,40.9,9.56,840.93,0.57,0.8,15,39,467.7
01.01.2024 12:49:05,2.22,2946,1.07,0.63,0.52,108.68,0.76,0.49,203,65,196.3
01.01.2024 12:49:06,64.36,2947,63.48,0.67,0.21,266.35,0.6,0.88,980,14,376.9
01.01.2024 12:49:07,84.56,2948,52.74,22.1,9.72,883.85,0.04,0.32,317,66,398.8
01.01.2024 12:49:08,11.39,2949,10.96,0.41,0.02,747.52,0.15,0.02,840,75,48.3
01.01.2024 12:49:09,69.99,2950,30.72,10.72,28.55,97.68,0.77,0.42,520,86,426.7
01.01.2024 12:49:10,54.76,2951,28.85,22.62,3.29,825.4,0.96,0.9,911,22,722.3
01.01.2024 12:49:11,65.57,2952,7.42,43.99,14.16,852.9,0.87,0.82,493,78,289.1
01.01.2024 12:49:12,51.32,2953,10.49,5.19,35.64,931.52,0.37,0.37,685,21,793.4
01.01.2024 12:49:13,34.72,2954,19.35,9.55,5.82,537.5,0.07,0.22,458,35,30.0
01.01.2024 12:49:14,31.45,2955,31.08,0.35,0.02,414.11,0.88,0.05,544,97,627.4
01.01.2024 12:49:15,78.38,2956,65.02,0.06,13.3,189.3,0.7,0.03,550,29,95.4
01.01.2024 12:49:16,86.98,2957,74.69,7.51,4.78,635.64,0.67,0.86,183,97,276.3
01.01.2024 12:49:17,8.44,2958,2.68,0.76,5.0,234.12,0.84,0.01,882,17,901.8
01.01.2024 12:49:18,7.61,2959,2.21,5.05,0.35,564.36,0.97,0.51,868,22,204.1
01.01.2024 12:49:19,25.6,2960,4.49,19.31,1.8,952.95,0.47,0.71,723,16,109.9
01.01.2024 12:49:20,34.68,2961,19.39,10.67,4.62,413.14,0.6,0.79,573,24,440.9
01.01.2024 12:49:21,19.53,2962,0.52,8.62,10.39,441.9,0.16,0.88,659,6,121.9
01.01.2024 12:49:22,54.06,2963,34.78,6.8,12.48,166.24,0.59,0.83,37,9,983.5
01.01.2024 12:49:23,19.45,2964,11.15,3.82,4.48,924.26,0.41,0.26,582,44,202.2
01.01.2024 12:49:24,55.55,2965,34.66,10.84,10.05,799.02,0.97,0.14,614,6,261.8
01.01.2024 12:49:25,7.74,2966,4.59,2.36,0.79,994.89,0.48,0.27,923,68,236.4
01.01.2024 12:49:26,28.02,2967,14.02,9.31,4.69,61.43,0.07,0.58,529,96,298.2
01.01.2024 12:49:27,20.96,2968,5.37,8.13,7.46,554.8,0.68,0.45,400,32,460.4
01.01.2024 12:49:28,31.15,2969,13.21,4.85,13.09,598.18,0.68,0.13,371,76,263.7
01.01.2024 12:49:29,67.39,2970,6.49,38.84,22.06,242.0,0.05,0.74,30,72,268.8
01.01.2024 12:49:30,90.48,2971,36.16,32.8,21.52,493.76,0.16,0.26,142,89,584.0
01.01.2024 12:49:31,82.86,2972,45.52,27.56,9.78,747.58,0.23,0.88,521,71,544.9
01.01.2024 12:49:32,32.37,2973,19.76,1.65,10.96,670.64,0.24,0.0,998,17,654.7
01.01.2024 12:49:33,25.68,2974,24.15,0.75,0.78,647.95,0.4,0.25,642,70,709.0
01.01.2024 12:49:34,42.02,2975,16.18,22.56,3.28,425.18,0.67,0.23,250,25,889.2
01.01.2024 12:49:35,62.5,2976,56.8,1.37,4.33,713.84,0.46,0.81,501,2,508.7
01.01.2024 12:49:36,31.38,2977,14.48,14.29,2.61,102.86,0.27,0.35,193,81,246.0
01.01.2024 12:49:37,12.08,2978,3.75,7.67,0.66,935.41,0.6,0.69,85,98,864.3
01.01.2024 12:49:38,44.37,2979,1.55,4.19,38.63,565.45,0.89,0.6,540,59,485.4
01.01.2024 12:49:39,10.68,2980,4.96,0.67,5.05,86.74,0.62,0.32,930,50,54.6
01.01.2024 12:49:40,65.58,2981,60.72,4.62,0.24,459.53,0.31,0.69,612,15,909.1
01.01.2024 12:49:41,26.58,2982,12.48,3.3,10.8,710.77,0.97,0.8,692,76,64.8
01.01.2024 12:49:42,19.64,2983,4.43,12.41,2.8,748.96,0.31,0.42,475,80,890.1
01.01.2024 12:49:43,40.62,2984,23.53,16.43,0.66,766.09,0.01,0.75,633,25,318.4
01.01.2024 12:49:44,1.48,2985,1.41,0.07,0.0,170.41,0.78,0.32,834,22,696.3
01.01.2024 12:49:45,83.52,2986,6.44,32.36,44.72,820.31,0.69,0.5,434,13,222.7
01.01.2024 12:49:46,56.9,2987,23.2,28.51,5.19,341.14,0.21,0.49,619,29,823.9
01.01.2024 12:49:47,3.98,2988,1.56,2.16,0.26,73.29,0.04,0.65,109,59,922.4
01.01.2024 12:49:48,50.88,2989,25.66,18.78,6.44,168.17,0.09,0.73,135,56,191.5
01.01.2024 12:49:49,10.58,2990,2.13,6.02,2.43,593.81,0.44,0.41,580,51,20.2
01.01.2024 12:49:50,57.16,2991,19.61,4.9,32.65,304.26,0.98,0.15,638,12,892.6
01.01.2024 12:49:51,27.81,2992,25.43,2.24,0.14,794.15,0.08,0.46,314,89,905.8
01.01.2024 12:49:52,34.43,2993,1.34,25.18,7.91,677.19,0.25,0.39,382,94,496.0
01.01.2024 12:49:53,76.02,2994,14.59,25.17,36.26,717.58,0.35,0.77,84,3,442.6
01.01.2024 12:49:54,9.65,2995,4.95,4.39,0.31,587.77,0.21,0.06,17,45,275.2
01.01.2024 12:49:55,47.63,2996,14.82,2.41,30.4,319.66,0.42,0.07,522,12,859.1
01.01.2024 12:49:56,93.55,2997,10.6,55.22,27.73,699.34,0.85,0.57,759,69,958.4
01.01.2024 12:49:57,64.04,2998,43.31,20.29,0.44,766.09,0.64,0.82,100,53,219.7
01.01.2024 12:49:58,60.37,2999,1.83,41.74,16.8,545.53,0.09,0.31,107,87,427.1
01.01.2024 12:49:59,13.27,3000,5.77,5.97,1.53,705.0,0.7,0.92,121,91,116.0
01.01.2024 12:50:00,60.14,3001,0.96,19.74,39.44,401.09,0.77,0.2,79,3,37.9
01.01.2024 12:50:01,62.41,3002,56.74,1.96,3.71,779.18,0.95,0.35,892,12,430.5
01.01.2024 12:50:02,2.43,3003,0.94,1.28,0.21,331.86,0.35,0.01,615,61,582.8
01.01.2024 12:50:03,77.97,3004,21.84,37.09,19.04,724.23,0.36,0.99,185,49,285.6
01.01.2024 12:50:04,88.88,3005,48.78,9.52,30.58,846.97,0.98,0.16,245,47,317.6
01.01.2024 12:50:05,89.86,3006,8.18,55.88,25.8,301.84,0.06,0.29,238,80,740.4
01.01.2024 12:50:06,75.28,3007,33.87,25.67,15.74,525.07,0.91,0.87,583,16,239.7
01.01.2024 12:50:07,17.71,3008,3.45,11.88,2.38,22.86,0.57,0.29,711,93,294.0
01.01.2024 12:50:08,9.26,3009,1.56,1.64,6.06,780.59,0.6,0.12,268,4,757.2
01.01.2024 12:50:09,75.41,3010,16.91,10.71,47.79,831.47,0.72,0.74,683,15,228.1
01.01.2024 12:50:10,94.64,3011,35.47,53.9,5.27,886.91,0.09,0.5,868,85,719.3
01.01.2024 12:50:11,17.99,3012,0.67,10.72,6.6,627.56,0.27,0.44,388,10,850.0
01.01.2024 12:50:12,11.5,3013,0.11,3.26,8.13,670.23,0.79,0.98,401,18,484.9
01.01.2024 12:50:13,53.25,3014,39.74,2.0,11.51,606.18,0.68,0.86,171,69,504.7
01.01.2024 12:50:14,97.17,3015,57.18,30.36,9.63,78.08,0.18,0.55,696,24,782.9
01.01.2024 12:50:15,94.74,3016,27.08,23.86,43.8,768.36,0.77,0.11,74,43,856.3
01.01.2024 12:50:16,64.15,3017,24.79,1.74,37.62,604.75,0.43,0.81,373,27,672.6
01.01.2024 12:50:17,70.16,3018,29.94,32.25,7.97,644.56,0.24,0.24,649,4,23.9
01.01.2024 12:50:18,44.84,3019,2.56,1.04,41.24,200.38,0.65,0.6,343,8,690.5
01.01.2024 12:50:19,62.79,3020,16.16,28.53,18.1,874.67,0.3,0.41,714,16,229.9
01.01.2024 12:50:20,81.5,3021,57.67,13.64,10.19,18.98,0.17,0.76,7,62,499.7
01.01.2024 12:50:21,28.13,3022,8.19,16.77,3.17,469.29,0.1,0.42,881,66,152.7
01.01.2024 12:50:22,93.57,3023,7.42,43.57,42.58,660.54,0.28,0.03,296,60,404.8
01.01.2024 12:50:23,38.61,3024,4.87,27.62,6.12,305.03,0.43,0.11,648,93,806.7
01.01.2024 12:50:24,92.76,3025,64.16,21.3,7.3,60.82,0.66,0.54,581,99,207.1
01.01.2024 12:50:25,49.81,3026,42.08,6.18,1.55,155.81,0.29,0.61,792,72,438.8
01.01.2024 12:50:26,47.18,3027,13.14,5.1,28.94,935.89,0.95,0.94,968,78,276.9
01.01.2024 12:50:27,74.92,3028,51.88,1.86,21.18,136.2,0.39,0.63,235,85,923.5
01.01.2024 12:50:28,40.74,3029,24.53,10.76,5.45,237.31,0.74,0.23,513,31,599.5
01.01.2024 12:50:29,53.28,3030,40.09,0.3,12.89,517.71,0.59,0.44,696,42,878.2
01.01.2024 12:50:30,91.21,3031,17.78,44.43,29.0,873.55,0.17,0.41,773,82,172.4
01.01.2024 12:50:31,76.45,3032,8.66,2.66,65.13,382.77,0.35,0.3,588,50,758.2
01.01.2024 12:50:32,65.65,3033,62.98,1.87,0.8,991.37,0.97,0.58,713,26,591.0
01.01.2024 12:50:33,1.34,3034,0.02,0.45,0.87,300.48,0.42,0.07,27,29,785.0
01.01.2024 12:50:34,50.16,3035,29.21,19.89,1.06,181.97,0.26,0.31,174,18,308.1
01.01.2024 12:50:35,5.3,3036,1.3,0.93,3.07,53.66,0.11,0.58,834,73,298.2
01.01.2024 12:50:36,4.69,3037,3.6,0.26,0.83,962.73,0.28,0.12,785,42,163.1
01.01.2024 12:50:37,26.84,3038,21.78,2.94,2.12,698.17,0.15,0.21,980,37,847.5
01.01.2024 12:50:38,77.46,3039,10.09,37.39,29.98,118.43,0.93,0.34,648,26,638.7
01.01.2024 12:50:39,62.05,3040,21.76,2.07,38.22,764.01,0.25,0.24,740,49,114.3
01.01.2024 12:50:40,76.02,3041,1.25,29.35,45.42,605.93,0.05,0.02,193,23,454.7
01.01.2024 12:50:41,55.85,3042,11.86,12.77,31.22,796.82,0.26,0.04,764,53,77.8
01.01.2024 12:50:42,22.95,3043,12.71,1.43,8.81,616.11,0.95,0.73,374,14,775.0
01.01.2024 12:50:43,14.41,3044,11.29,1.08,2.04,752.5,0.76,0.81,359,8,236.1
01.01.2024 12:50:44,97.94,3045,3.38,61.59,32.97,187.96,0.84,0.39,705,89,577.3
01.01.2024 12:50:45,11.57,3046,8.75,0.79,2.03,528.68,0.15,0.15,265,19,271.9
01.01.2024 12:50:46,2.43,3047,2.28,0.14,0.01,873.38,0.22,0.54,110,63,910.6
01.01.2024 12:50:47,63.9,3048,32.91,0.31,30.68,929.77,0.13,0.82,393,25,450.1
01.01.2024 12:50:48,79.66,3049,17.93,21.62,40.11,893.03,0.02,0.85,283,11,993.0
01.01.2024 12:50:49,99.13,3050,5.09,23.62,70.42,216.36,0.24,0.82,380,16,953.7
01.01.2024 12:50:50,41.68,3051,24.2,8.41,9.07,152.63,0.25,0.87,163,85,332.7
01.01.2024 12:50:51,78.68,3052,21.43,31.1,26.15,985.8,0.32,0.8,512,30,53.7
01.01.2024 12:50:52,26.74,3053,21.33,0.54,4.87,876.54,0.2,0.92,837,23,179.9
01.01.2024 12:50:53,86.51,3054,15.28,6.69,64.54,889.59,0.95,0.59,572,85,89.2
01.01.2024 12:50:54,13.87,3055,10.65,0.22,3.0,491.99,1.0,0.59,489,30,527.5
01.01.2024 12:50:55,6.81,3056,0.31,5.91,0.59,212.59,0.33,0.13,550,49,726.4
01.01.2024 12:50:56,75.6,3057,64.82,2.12,8.66,381.07,0.89,0.82,790,32,49.9
01.01.2024 12:50:57,55.67,3058,34.71,14.56,6.4,700.61,0.33,0.28,491,77,686.9
01.01.2024 12:50:58,78.2,3059,66.47,0.72,11.01,870.19,0.06,0.22,322,21,621.0
01.01.2024 12:50:59,59.81,3060,49.59,3.33,6.89,724.81,0.93,0.16,672,93,142.7
01.01.2024 12:51:00,60.62,3061,10.71,18.68,31.23,41.78,0.96,0.88,248,14,944.4
01.01.2024 12:51:01,27.91,3062,25.12,1.0,1.79,438.7,0.97,0.45,627,91,22.7
01.01.2024 12:51:02,52.9,3063,1.79,17.79,33.32,133.02,0.21,0.22,34,92,948.3
01.01.2024 12:51:03,34.01,3064,8.58,1.85,23.58,714.91,0.58,0.52,336,40,757.7
01.01.2024 12:51:04,78.06,3065,47.0,18.36,12.7,450.98,0.1,0.92,552,12,124.2
01.01.2024 12:51:05,53.1,3066,14.38,36.86,1.86,376.45,0.58,0.49,85,47,774.1
01.01.2024 12:51:06,66.31,3067,23.28,32.61,10.42,505.52,0.66,0.4,498,67,228.5
01.01.2024 12:51:07,34.75,3068,8.21,5.17,21.37,965.68,0.6,0.44,448,66,813.6
01.01.2024 12:51:08,43.74,3069,2.04,14.68,27.02,555.38,0.01,0.15,95,52,815.3
01.01.2024 12:51:09,46.87,3070,35.2,7.48,4.19,793.42,0.93,0.02,398,37,748.8
01.01.2024 12:51:10,36.19,3071,30.46,0.28,5.45,244.74,0.02,0.02,976,44,78.9
01.01.2024 12:51:11,38.13,3072,22.66,7.26,8.21,6.63,0.67,0.96,922,75,788.4
01.01.2024 12:51:12,98.54,3073,93.91,4.58,0.05,987.48,0.83,0.31,365,20,242.7
01.01.2024 12:51:13,63.08,3074,11.58,25.63,25.87,900.86,0.24,0.6,280,78,477.1
01.01.2024 12:51:14,80.49,3075,19.98,34.69,25.82,932.78,0.75,0.96,560,61,54.3
01.01.2024 12:51:15,10.6,3076,4.29,1.94,4.37,467.1,0.08,0.69,981,96,955.9
01.01.2024 12:51:16,39.61,3077,30.16,4.01,5.44,676.87,0.52,0.08,861,48,411.8
01.01.2024 12:51:17,56.74,3078,45.92,9.61,1.21,494.39,0.54,0.6,850,88,257.0
01.01.2024 12:51:18,79.76,3079,33.38,31.51,14.87,477.4,0.93,0.81,138,14,128.0
01.01.2024 12:51:19,0.64,3080,0.1,0.24,0.3,548.18,0.63,0.55,153,41,914.1
01.01.2024 12:51:20,38.43,3081,8.73,28.37,1.33,620.36,0.14,0.44,847,1,247.5
01.01.2024 12:51:21,32.11,3082,6.23,15.09,10.79,570.67,0.72,0.97,140,65,858.1
01.01.2024 12:51:22,99.6,3083,67.96,15.62,16.02,485.6,0.93,0.28,450,81,957.6
01.01.2024 12:51:23,60.32,3084,21.21,4.45,34.66,608.07,0.9,0.73,985,85,27.2
01.01.2024 12:51:24,60.21,3085,9.17,6.26,44.78,636.18,0.54,0.56,882,90,454.0
01.01.2024 12:51:25,95.97,3086,78.53,13.32,4.12,22.0,0.72,0.52,397,9,569.3
01.01.2024 12:51:26,37.24,3087,32.19,3.14,1.91,804.27,0.88,0.76,651,30,641.0
01.01.2024 12:51:27,61.58,3088,36.93,16.11,8.54,148.93,0.74,0.75,58,54,700.8
01.01.2024 12:51:28,81.44,3089,49.67,25.78,5.99,993.42,0.6,0.18,909,22,511.5
01.01.2024 12:51:29,71.32,3090,57.9,2.37,11.05,906.54,0.66,0.31,129,65,336.8
01.01.2024 12:51:30,49.11,3091,36.76,1.57,10.78,989.95,0.07,0.0,821,60,417.1
01.01.2024 12:51:31,15.68,3092,14.05,0.83,0.8,682.53,0.94,0.39,149,59,959.1
01.01.2024 12:51:32,91.09,3093,76.68,3.0,11.41,385.46,0.44,0.98,238,100,460.8
01.01.2024 12:51:33,48.69,3094,40.96,2.29,5.44,595.93,0.39,0.58,558,42,78.6
01.01.2024 12:51:34,37.84,3095,25.52,7.16,5.16,777.49,0.91,0.79,551,28,587.7
01.01.2024 12:51:35,24.65,3096,12.23,8.16,4.26,507.59,0.69,0.18,165,63,730.1
01.01.2024 12:51:36,16.39,3097,2.47,11.78,2.14,679.86,0.5,0.34,556,90,273.8
01.01.2024 12:51:37,68.24,3098,55.0,2.91,10.33,123.75,0.92,0.12,68,7,529.3
01.01.2024 12:51:38,88.28,3099,17.71,48.49,22.08,976.58,0.08,0.95,215,91,961.6
01.01.2024 12:51:39,34.25,3100,23.42,0.88,9.95,534.23,0.8,0.78,782,42,192.9
01.01.2024 12:51:40,9.92,3101,6.17,2.52,1.23,945.6,0.58,0.56,108,35,761.2
01.01.2024 12:51:41,32.84,3102,26.67,4.48,1.69,389.06,0.98,0.33,753,23,999.0
01.01.2024 12:51:42,16.24,3103,1.26,14.6,0.38,608.6,0.31,0.0,609,78,132.7
01.01.2024 12:51:43,20.28,3104,18.93,0.26,1.09,37.69,0.69,0.14,69,45,512.1
01.01.2024 12:51:44,3.12,3105,0.08,1.97,1.07,761.8,0.86,0.33,703,57,861.4
01.01.2024 12:51:45,18.35,3106,17.91,0.02,0.42,650.59,0.81,0.3,349,97,387.8
01.01.2024 12:51:46,65.14,3107,33.67,7.13,24.34,671.21,0.31,0.39,777,6,366.6
01.01.2024 12:51:47,10.53,3108,2.75,5.76,2.02,709.04,0.06,0.1,810,51,334.1
01.01.2024 12:51:48,56.79,3109,46.97,3.65,6.17,668.29,0.56,0.66,102,27,750.0
01.01.2024 12:51:49,31.84,3110,22.86,3.36,5.62,427.81,0.36,0.23,608,51,993.1
01.01.2024 12:51:50,50.32,3111,25.13,16.16,9.03,93.48,0.89,0.27,690,95,967.6
01.01.2024 12:51:51,55.14,3112,0.98,34.16,20.0,560.57,0.92,0.36,744,75,920.5
01.01.2024 12:51:52,22.4,3113,2.05,10.21,10.14,723.82,0.88,0.4,464,60,853.3
01.01.2024 12:51:53,6.92,3114,1.35,4.24,1.33,537.89,0.53,0.11,876,4,378.4
01.01.2024 12:51:54,89.41,3115,38.23,33.65,17.53,610.25,0.45,0.2,348,39,44.4
01.01.2024 12:51:55,10.08,3116,3.32,1.15,5.61,477.43,0.83,0.18,790,42,662.7
01.01.2024 12:51:56,40.72,3117,29.94,8.99,1.79,32.88,0.63,0.73,459,66,75.0
01.01.2024 12:51:57,66.8,3118,1.74,59.73,5.33,694.18,0.23,0.12,752,20,107.4
01.01.2024 12:51:58,10.95,3119,5.65,0.27,5.03,618.13,0.78,0.05,158,40,123.2
01.01.2024 12:51:59,63.68,3120,50.82,1.61,11.25,396.63,0.16,0.26,261,76,525.1
01.01.2024 12:52:00,15.84,3121,9.63,1.85,4.36,26.79,0.04,0.77,485,10,249.6
01.01.2024 12:52:01,18.35,3122,13.24,2.05,3.06,347.0,0.12,0.8,801,36,633.2
01.01.2024 12:52:02,36.77,3123,6.77,16.12,13.88,215.37,0.34,0.02,34,67,98.7
01.01.2024 12:52:03,23.33,3124,5.52,16.77,1.04,698.18,0.85,0.21,462,27,632.9
01.01.2024 12:52:04,68.59,3125,12.17,5.0,51.42,196.15,0.99,0.41,544,12,189.6
01.01.2024 12:52:05,53.5,3126,43.82,6.33,3.35,609.11,0.03,0.74,822,17,840.8
01.01.2024 12:52:06,7.46,3127,1.31,4.65,1.5,800.59,0.63,0.66,987,25,524.3
01.01.2024 12:52:07,29.86,3128,9.29,5.84,14.73,80.42,0.78,0.16,148,7,95.2
01.01.2024 12:52:08,3.39,3129,2.83,0.42,0.14,496.89,0.84,0.24,279,46,541.4
01.01.2024 12:52:09,72.6,3130,58.64,11.93,2.03,89.9,0.56,0.23,726,46,516.1
01.01.2024 12:52:10,81.11,3131,1.32,15.25,64.54,323.84,0.95,0.06,421,8,813.7
01.01.2024 12:52:11,51.24,3132,1.14,10.36,39.74,495.19,0.36,0.0,606,30,20.1
01.01.2024 12:52:12,94.49,3133,10.1,10.57,73.82,610.49,0.93,0.85,351,100,557.8
01.01.2024 12:52:13,6.37,3134,3.49,0.89,1.99,427.01,0.78,0.3,686,47,434.1
01.01.2024 12:52:14,44.17,3135,2.44,22.58,19.15,606.44,0.44,0.63,983,29,416.0
01.01.2024 12:52:15,80.2,3136,43.27,29.81,7.12,59.76,0.76,0.97,764,7,845.9
01.01.2024 12:52:16,6.61,3137,5.42,1.13,0.06,610.3,0.64,0.01,26,80,103.9
01.01.2024 12:52:17,74.3,3138,52.28,3.47,18.55,60.28,0.47,0.73,896,58,405.7
01.01.2024 12:52:18,12.46,3139,7.84,3.17,1.45,496.37,0.88,0.78,581,2,370.7
01.01.2024 12:52:19,28.54,3140,27.33,0.58,0.63,256.48,0.69,0.83,324,61,296.6
01.01.2024 12:52:20,22.59,3141,9.88,4.94,7.77,543.89,0.04,0.86,605,20,861.5
01.01.2024 12:52:21,0.32,3142,0.01,0.04,0.27,863.57,0.32,0.6,936,22,250.1
01.01.2024 12:52:22,1.71,3143,0.33,1.05,0.33,386.19,0.26,0.85,993,63,683.6
01.01.2024 12:52:23,1.69,3144,0.65,0.12,0.92,121.88,0.64,0.09,221,18,180.1
01.01.2024 12:52:24,9.24,3145,1.95,2.83,4.46,728.71,0.31,0.13,459,42,434.1
01.01.2024 12:52:25,82.94,3146,82.85,0.03,0.06,366.11,0.9,0.38,917,94,714.9
01.01.2024 12:52:26,8.18,3147,1.09,0.66,6.43,885.22,0.92,0.41,324,34,196.9
01.01.2024 12:52:27,33.6,3148,5.51,16.16,11.93,565.25,0.81,0.26,878,52,205.3
01.01.2024 12:52:28,88.61,3149,27.85,23.88,36.88,279.1,0.94,0.1,796,84,209.2
01.01.2024 12:52:29,79.79,3150,49.84,27.34,2.61,406.73,0.65,0.89,116,85,848.5
01.01.2024 12:52:30,57.15,3151,29.26,3.92,23.97,340.97,0.21,0.96,61,15,584.1
01.01.2024 12:52:31,74.1,3152,35.32,37.8,0.98,569.36,0.08,0.58,515,79,285.7
01.01.2024 12:52:32,81.41,3153,41.19,14.88,25.34,519.24,0.2,0.19,282,47,400.6
01.01.2024 12:52:33,90.42,3154,26.48,27.99,35.95,139.1,0.98,0.4,759,42,610.5
01.01.2024 12:52:34,8.06,3155,5.64,0.32,2.1,651.22,0.77,0.89,446,99,149.9
01.01.2024 12:52:35,88.23,3156,40.56,42.56,5.11,611.26,0.66,0.65,108,77,291.2
01.01.2024 12:52:36,99.43,3157,46.34,43.25,9.84,297.65,0.47,0.49,477,84,133.9
01.01.2024 12:52:37,11.84,3158,10.61,0.22,1.01,523.48,0.92,0.5,984,38,995.5
01.01.2024 12:52:38,54.37,3159,32.43,11.06,10.88,267.46,0.89,0.29,872,84,15.9
01.01.2024 12:52:39,97.26,3160,77.6,5.13,14.53,325.13,0.47,0.1,729,39,503.4
01.01.2024 12:52:40,7.92,3161,0.95,6.87,0.1,421.07,0.01,0.24,23,63,247.6
01.01.2024 12:52:41,61.64,3162,56.99,3.89,0.76,187.65,0.59,0.09,297,58,355.1
01.01.2024 12:52:42,30.09,3163,27.47,2.61,0.01,536.23,0.95,0.66,195,43,688.9
01.01.2024 12:52:43,11.22,3164,6.48,3.94,0.8,32.74,0.31,0.22,137,99,575.4
01.01.2024 12:52:44,52.93,3165,26.12,16.98,9.83,607.87,0.4,0.44,677,24,630.4
01.01.2024 12:52:45,3.26,3166,2.68,0.41,0.17,139.21,0.35,0.91,45,63,390.4
01.01.2024 12:52:46,11.99,3167,7.27,2.58,2.14,804.1,0.31,0.95,582,95,867.3
01.01.2024 12:52:47,36.65,3168,21.24,9.53,5.88,893.32,0.91,0.35,4,74,956.8
01.01.2024 12:52:48,24.26,3169,22.47,1.06,0.73,257.11,0.15,0.84,55,47,197.7
01.01.2024 12:52:49,94.05,3170,57.13,33.84,3.08,453.28,0.33,0.17,992,88,915.7
01.01.2024 12:52:50,14.14,3171,3.48,8.39,2.27,579.93,0.5,0.18,108,97,735.3
01.01.2024 12:52:51,2.62,3172,0.05,2.5,0.07,539.82,0.06,0.86,587,36,768.1
01.01.2024 12:52:52,85.99,3173,55.56,18.64,11.79,102.76,0.77,0.1,753,25,717.6
01.01.2024 12:52:53,61.03,3174,28.62,12.51,19.9,789.04,0.03,0.27,942,30,830.4
01.01.2024 12:52:54,80.13,3175,26.34,21.84,31.95,124.42,0.75,0.93,365,15,492.9
01.01.2024 12:52:55,79.54,3176,15.04,11.59,52.91,466.27,0.09,0.48,699,49,393.5
01.01.2024 12:52:56,96.12,3177,62.18,29.75,4.19,154.68,0.23,0.95,548,20,138.7
01.01.2024 12:52:57,20.49,3178,19.07,0.05,1.37,636.94,0.29,0.79,564,66,871.2
01.01.2024 12:52:58,12.9,3179,2.32,10.13,0.45,129.74,0.44,0.2,906,50,287.0
01.01.2024 12:52:59,3.02,3180,2.93,0.06,0.03,927.65,0.94,0.85,466,9,509.9
01.01.2024 12:53:00,26.79,3181,7.79,15.74,3.26,151.17,0.67,0.26,899,24,885.6
01.01.2024 12:53:01,19.08,3182,14.37,0.61,4.1,979.71,0.53,0.98,50,6,848.8
01.01.2024 12:53:02,38.88,3183,16.14,5.3,17.44,163.22,0.08,0.42,598,61,744.9
01.01.2024 12:53:03,10.9,3184,9.21,1.16,0.53,370.28,0.26,0.43,871,55,320.3
01.01.2024 12:53:04,61.84,3185,51.68,0.95,9.21,195.88,0.19,0.81,694,93,919.5
01.01.2024 12:53:05,77.03,3186,46.13,11.44,19.46,420.66,0.25,0.03,216,48,49.3
01.01.2024 12:53:06,60.26,3187,48.5,10.97,0.79,379.47,0.48,0.86,191,34,262.8
01.01.2024 12:53:07,87.87,3188,72.37,7.21,8.29,82.2,0.95,0.18,943,8,544.0
01.01.2024 12:53:08,36.96,3189,26.48,7.31,3.17,119.89,0.94,0.59,267,98,409.4
01.01.2024 12:53:09,34.64,3190,2.03,11.5,21.11,590.82,0.89,0.41,957,73,74.5
01.01.2024 12:53:10,51.94,3191,31.29,5.81,14.84,669.49,0.29,0.17,36,36,636.5
01.01.2024 12:53:11,97.17,3192,95.5,0.08,1.59,853.22,0.29,0.48,576,26,73.2
01.01.2024 12:53:12,41.04,3193,39.63,0.1,1.31,737.57,0.79,0.19,58,54,614.0
01.01.2024 12:53:13,28.75,3194,4.91,21.46,2.38,501.29,0.81,0.86,747,74,786.7
01.01.2024 12:53:14,35.52,3195,17.75,12.05,5.72,643.89,0.43,0.85,615,99,332.4
01.01.2024 12:53:15,17.61,3196,14.78,1.25,1.58,401.9,0.71,0.03,172,21,436.9
