Type,Datum,Tagesertrag,Einsparung,Netzeinspeisung,Eigenverbrauch Elektrolyseur,Eigenverbrauch Batterie,Produktionsrate,Wassernutzung,Energieverbrauch,EL-Tank,EL-Tank2,SoC,Leistung,Reichweite Elektroautos
PV-Anlage,22.01.2024 07:00:00,82.29,512,4.81,42.85,34.63,549.83,679.2,2.35,0,155,25,870.09,416.93
PV-Anlage,22.01.2024 08:00:00,6.89,513,1.7,4.69,0.5,200.45,3516.6,49.77,19,399,8,-1098.41,472.67
PV-Anlage,22.01.2024 09:00:00,75.82,514,28.79,8.2,38.83,1953.76,2006.37,78.73,85,447,39,-1038.63,285.72
PV-Anlage,22.01.2024 10:00:00,53.36,515,42.99,9.63,0.74,1172.97,2896.18,60.16,45,643,45,710.33,223.34
PV-Anlage,22.01.2024 11:00:00,57.88,516,50.73,5.53,1.62,1184.78,2248.59,70.51,97,119,66,366.47,460.27
PV-Anlage,22.01.2024 12:00:00,41.84,517,37.09,2.39,2.36,1779.29,349.38,47.58,52,266,80,647.33,242.85
PV-Anlage,22.01.2024 13:00:00,37.61,518,36.54,0.51,0.56,75.45,180.67,7.74,86,474,47,1017.87,382.69
PV-Anlage,22.01.2024 14:00:00,50.72,519,36.3,10.22,4.2,1334.9,2926.76,55.9,91,97,69,1738.32,474.85
PV-Anlage,22.01.2024 15:00:00,2.05,520,1.48,0.48,0.09,1159.14,341.27,30.82,45,311,89,-938.4,399.0
PV-Anlage,22.01.2024 16:00:00,80.09,521,35.09,25.19,19.81,991.9,1691.8,81.38,100,935,79,-1801.87,296.5
PV-Anlage,22.01.2024 17:00:00,73.15,522,19.81,35.31,18.03,1980.65,351.5,90.5,83,153,68,182.41,65.85
PV-Anlage,22.01.2024 18:00:00,54.79,523,27.36,15.45,11.98,359.06,3081.03,31.79,4,325,38,1853.38,397.68
PV-Anlage,22.01.2024 19:00:00,48.06,524,14.62,8.31,25.13,236.91,1022.59,35.36,28,617,76,-1878.77,254.88
PV-Anlage,22.01.2024 20:00:00,73.17,525,24.94,11.86,36.37,1062.41,716.22,89.38,98,678,86,623.36,410.78
PV-Anlage,22.01.2024 21:00:00,47.73,526,32.88,1.12,13.73,171.0,569.87,68.24,83,315,23,-1606.09,137.15
PV-Anlage,22.01.2024 22:00:00,48.93,527,48.73,0.04,0.16,1003.49,3471.27,53.58,82,931,79,-223.7,260.81
PV-Anlage,22.01.2024 23:00:00,98.61,528,80.25,1.0,17.36,448.33,1358.4,93.78,1,475,59,1554.45,114.7
PV-Anlage,23.01.2024 00:00:00,27.46,529,9.63,1.98,15.85,324.6,2252.89,94.21,41,482,45,1076.29,376.23
PV-Anlage,23.01.2024 01:00:00,79.21,530,59.52,9.64,10.05,825.87,3688.06,47.46,63,167,16,984.26,364.24
PV-Anlage,23.01.2024 02:00:00,35.19,531,11.49,11.18,12.52,1292.22,2339.85,0.71,64,144,85,-1386.47,350.51
PV-Anlage,23.01.2024 03:00:00,51.6,532,38.66,4.2,8.74,228.45,2237.67,94.54,47,859,63,-1594.65,451.79
PV-Anlage,23.01.2024 04:00:00,94.65,533,64.16,5.82,24.67,1289.27,2737.97,47.59,35,379,80,1477.65,233.72
PV-Anlage,23.01.2024 05:00:00,74.67,534,29.64,26.77,18.26,1177.69,2920.22,34.76,37,322,7,100.79,348.08
PV-Anlage,23.01.2024 06:00:00,67.19,535,25.1,27.2,14.89,1730.17,336.05,31.54,57,56,2,-114.89,478.82
PV-Anlage,23.01.2024 07:00:00,60.71,536,11.5,25.56,23.65,1876.38,2960.22,18.45,43,90,98,1875.27,379.49
PV-Anlage,23.01.2024 08:00:00,46.45,537,44.42,0.53,1.5,1323.15,3336.22,15.24,55,322,41,1511.79,129.04
PV-Anlage,23.01.2024 09:00:00,18.2,538,3.72,4.0,10.48,1778.78,1290.59,89.25,36,88,100,-1259.63,80.6
PV-Anlage,23.01.2024 10:00:00,50.33,539,48.55,0.33,1.45,104.64,575.0,5.81,47,423,57,-705.42,240.17
PV-Anlage,23.01.2024 11:00:00,40.39,540,4.04,10.62,25.73,1520.63,1211.45,33.1,79,16,94,1597.75,479.92
PV-Anlage,23.01.2024 12:00:00,11.97,541,3.78,2.7,5.49,29.37,1201.63,77.35,69,962,33,-452.39,132.56
PV-Anlage,23.01.2024 13:00:00,38.75,542,28.6,0.81,9.34,845.42,1525.15,2.24,48,511,84,-1533.67,239.77
PV-Anlage,23.01.2024 14:00:00,88.06,543,26.02,9.05,52.99,67.8,664.54,84.27,73,793,83,726.56,86.17
PV-Anlage,23.01.2024 15:00:00,52.11,544,48.98,2.35,0.78,1040.77,1930.66,69.72,25,760,35,1055.63,434.09
PV-Anlage,23.01.2024 16:00:00,15.68,545,10.59,3.02,2.07,1593.59,3803.03,19.22,49,724,56,-889.64,483.2
PV-Anlage,23.01.2024 17:00:00,86.81,546,34.34,47.66,4.81,1857.14,279.94,88.33,8,667,80,-1467.55,140.9
PV-Anlage,23.01.2024 18:00:00,99.58,547,38.76,25.91,34.91,791.09,2367.12,4.3,88,90,2,-898.34,115.56
PV-Anlage,23.01.2024 19:00:00,89.57,548,18.93,45.93,24.71,1598.66,3164.56,61.88,31,950,63,900.66,387.61
PV-Anlage,23.01.2024 20:00:00,75.15,549,34.91,26.94,13.3,520.67,3251.79,69.62,98,463,89,-827.09,409.45
PV-Anlage,23.01.2024 21:00:00,60.64,550,8.17,1.83,50.64,1638.16,316.73,41.26,70,585,78,1051.34,203.0
PV-Anlage,23.01.2024 22:00:00,76.06,551,58.72,16.4,0.94,1755.91,2547.1,22.1,76,337,34,1692.96,143.06
PV-Anlage,23.01.2024 23:00:00,9.84,552,2.39,5.1,2.35,819.12,463.8,3.36,72,732,51,-412.41,88.02
PV-Anlage,24.01.2024 00:00:00,80.9,553,19.59,12.34,48.97,202.83,1174.97,98.51,72,444,76,19.6,188.64
PV-Anlage,24.01.2024 01:00:00,54.96,554,6.62,40.93,7.41,1889.9,2915.89,78.33,61,253,55,-908.78,249.19
PV-Anlage,24.01.2024 02:00:00,76.5,555,50.54,9.64,16.32,1143.47,854.18,20.33,39,476,39,-1872.06,371.76
PV-Anlage,24.01.2024 03:00:00,58.04,556,31.21,24.91,1.92,1127.08,3061.19,54.89,81,976,69,446.58,151.75
PV-Anlage,24.01.2024 04:00:00,45.86,557,3.12,42.7,0.04,301.49,186.15,56.82,91,556,42,935.96,429.51
PV-Anlage,24.01.2024 05:00:00,45.51,558,16.02,6.51,22.98,1185.7,2396.37,64.4,41,212,52,-471.22,394.79
PV-Anlage,24.01.2024 06:00:00,0.49,559,0.23,0.05,0.21,677.88,2803.44,68.98,61,609,62,1049.43,441.83
PV-Anlage,24.01.2024 07:00:00,49.29,560,24.74,11.65,12.9,1786.4,528.34,99.35,78,298,0,-1380.44,394.09
PV-Anlage,24.01.2024 08:00:00,80.33,561,19.88,50.8,9.65,1495.29,2644.44,20.81,52,937,75,293.38,77.31
PV-Anlage,24.01.2024 09:00:00,60.82,562,39.17,13.13,8.52,1481.43,2301.09,16.99,15,842,80,504.98,433.53
PV-Anlage,24.01.2024 10:00:00,69.7,563,30.04,28.0,11.66,573.25,1228.29,3.39,29,840,67,-1529.87,224.5
PV-Anlage,24.01.2024 11:00:00,44.25,564,31.14,1.23,11.88,789.57,1423.88,26.25,12,446,98,-386.04,111.52
PV-Anlage,24.01.2024 12:00:00,27.01,565,13.52,2.62,10.87,1323.35,1334.78,25.35,27,499,19,1958.61,147.94
PV-Anlage,24.01.2024 13:00:00,13.73,566,6.42,0.07,7.24,1745.05,2047.52,5.56,65,565,86,260.33,482.6
PV-Anlage,24.01.2024 14:00:00,84.38,567,61.55,10.95,11.88,1950.92,378.52,58.98,87,748,23,-407.0,418.44
PV-Anlage,24.01.2024 15:00:00,70.41,568,58.81,1.94,9.66,187.39,3935.71,2.19,0,78,17,-14.85,375.34
PV-Anlage,24.01.2024 16:00:00,75.48,569,12.78,1.78,60.92,913.2,2813.11,49.37,59,490,4,-243.17,322.93
PV-Anlage,24.01.2024 17:00:00,98.35,570,77.32,15.56,5.47,850.22,2867.5,95.7,86,510,25,-789.61,132.22
PV-Anlage,24.01.2024 18:00:00,42.46,571,3.94,7.71,30.81,748.48,1075.69,42.17,75,957,78,1036.6,206.78
PV-Anlage,24.01.2024 19:00:00,90.12,572,68.78,3.3,18.04,1670.67,3841.47,28.3,17,285,5,-685.2,254.23
PV-Anlage,24.01.2024 20:00:00,57.37,573,18.06,36.97,2.34,868.02,448.15,66.42,14,361,84,1080.15,168.2
PV-Anlage,24.01.2024 21:00:00,76.07,574,2.03,30.29,43.75,1062.99,562.09,45.57,53,947,52,-244.95,425.62
PV-Anlage,24.01.2024 22:00:00,60.12,575,9.94,19.05,31.13,1896.82,2579.43,55.42,73,216,11,30.82,349.27
PV-Anlage,24.01.2024 23:00:00,11.78,576,7.13,1.4,3.25,846.69,1291.11,57.48,43,918,76,265.62,329.36
PV-Anlage,25.01.2024 00:00:00,70.59,577,49.92,2.81,17.86,1562.66,742.33,18.74,29,860,61,-1227.79,113.83
PV-Anlage,25.01.2024 01:00:00,29.69,578,24.59,4.8,0.3,996.52,3007.47,44.3,57,224,95,1386.83,223.97
PV-Anlage,25.01.2024 02:00:00,25.19,579,9.52,14.07,1.6,1955.87,3316.31,32.57,50,328,23,103.2,157.95
PV-Anlage,25.01.2024 03:00:00,13.4,580,5.13,4.31,3.96,1033.19,1409.94,64.67,98,216,0,-900.47,161.11
PV-Anlage,25.01.2024 04:00:00,73.99,581,2.35,70.34,1.3,786.31,66.43,33.62,9,926,79,-1738.26,410.92
PV-Anlage,25.01.2024 05:00:00,59.85,582,23.62,14.88,21.35,1274.45,823.24,94.51,95,40,19,-1405.94,303.83
PV-Anlage,25.01.2024 06:00:00,24.84,583,10.63,0.24,13.97,14.18,2087.75,16.88,74,450,17,-1045.94,406.92
PV-Anlage,25.01.2024 07:00:00,13.54,584,11.48,0.23,1.83,940.75,1493.24,19.34,13,956,62,-532.79,412.87
PV-Anlage,25.01.2024 08:00:00,71.45,585,46.96,20.37,4.12,1379.8,3273.47,63.2,92,804,28,1550.63,218.51
PV-Anlage,25.01.2024 09:00:00,54.33,586,50.68,0.19,3.46,1526.83,1640.94,78.62,83,564,77,8.45,405.09
PV-Anlage,25.01.2024 10:00:00,55.77,587,21.6,25.75,8.42,1884.5,1963.07,89.7,65,57,61,-1614.53,183.43
PV-Anlage,25.01.2024 11:00:00,48.38,588,28.81,15.75,3.82,799.94,2294.0,24.66,21,605,78,1889.68,307.03
PV-Anlage,25.01.2024 12:00:00,16.41,589,11.43,4.91,0.07,141.05,338.64,62.65,11,846,4,1462.73,492.07
PV-Anlage,25.01.2024 13:00:00,18.89,590,16.34,0.77,1.78,1884.14,317.76,52.71,18,125,72,-606.64,239.76
PV-Anlage,25.01.2024 14:00:00,58.95,591,54.52,1.43,3.0,1287.25,1184.87,14.51,3,71,4,946.29,125.57
PV-Anlage,25.01.2024 15:00:00,38.89,592,23.95,14.41,0.53,250.76,1557.53,81.26,100,520,66,-1992.03,256.66
PV-Anlage,25.01.2024 16:00:00,99.89,593,74.8,21.15,3.94,1182.64,811.83,68.3,4,719,64,1020.54,371.18
PV-Anlage,25.01.2024 17:00:00,0.3,594,0.07,0.07,0.16,650.6,3937.58,39.46,73,838,51,953.11,209.13
PV-Anlage,25.01.2024 18:00:00,27.49,595,9.7,2.32,15.47,1628.78,3975.28,99.63,33,184,25,-1653.42,104.41
PV-Anlage,25.01.2024 19:00:00,49.68,596,42.3,2.76,4.62,750.88,496.51,6.4,24,131,40,-1488.0,61.44
PV-Anlage,25.01.2024 20:00:00,26.98,597,2.26,4.69,20.03,251.39,1631.5,20.49,67,437,88,1196.16,58.1
PV-Anlage,25.01.2024 21:00:00,4.19,598,0.72,0.54,2.93,1185.74,2416.55,60.09,47,325,32,-564.41,429.25
PV-Anlage,25.01.2024 22:00:00,20.68,599,13.87,3.7,3.11,575.14,2643.19,88.04,1,648,28,6.33,487.0
PV-Anlage,25.01.2024 23:00:00,90.6,600,52.19,0.16,38.25,1429.71,2628.72,47.83,64,383,2,-1583.3,209.29
PV-Anlage,26.01.2024 00:00:00,65.45,601,25.4,9.41,30.64,1941.79,2271.96,64.69,62,563,31,-1035.98,137.18
PV-Anlage,26.01.2024 01:00:00,89.84,602,65.62,21.08,3.14,583.35,3661.7,76.05,60,290,78,1326.04,247.48
PV-Anlage,26.01.2024 02:00:00,53.42,603,28.53,19.6,5.29,1694.83,1835.46,73.29,49,846,18,1564.02,476.21
PV-Anlage,26.01.2024 03:00:00,96.92,604,28.43,64.75,3.74,1252.18,1600.84,49.92,49,892,53,1556.05,317.78
PV-Anlage,26.01.2024 04:00:00,15.68,605,5.91,5.57,4.2,821.8,3744.77,37.47,14,752,63,1556.81,471.56
PV-Anlage,26.01.2024 05:00:00,49.24,606,11.9,27.85,9.49,399.52,3306.39,89.28,14,122,17,-1920.33,386.37
PV-Anlage,26.01.2024 06:00:00,58.49,607,14.47,42.76,1.26,1904.32,3230.11,99.67,14,112,79,751.97,69.42
PV-Anlage,26.01.2024 07:00:00,17.33,608,6.16,3.23,7.94,1967.54,2318.49,65.05,84,865,68,1712.77,486.31
PV-Anlage,26.01.2024 08:00:00,93.63,609,68.53,0.63,24.47,1592.55,1841.93,32.79,2,5,16,-737.24,161.54
PV-Anlage,26.01.2024 09:00:00,68.12,610,43.54,7.48,17.1,1385.1,3726.58,23.18,57,819,61,-1472.25,172.97
PV-Anlage,26.01.2024 10:00:00,46.22,611,5.27,36.46,4.49,1641.13,826.81,4.61,43,509,66,1584.86,373.6
PV-Anlage,26.01.2024 11:00:00,19.42,612,14.48,4.88,0.06,1758.78,1217.33,53.48,50,845,13,1787.96,282.51
PV-Anlage,26.01.2024 12:00:00,98.85,613,72.9,9.8,16.15,582.78,158.78,96.47,42,686,13,753.95,368.56
PV-Anlage,26.01.2024 13:00:00,46.67,614,27.2,7.52,11.95,1897.19,3746.53,99.94,17,662,20,-1941.29,315.03
PV-Anlage,26.01.2024 14:00:00,62.12,615,37.43,19.34,5.35,1009.67,3765.74,45.85,53,730,6,-729.54,240.28
PV-Anlage,26.01.2024 15:00:00,39.54,616,13.54,2.36,23.64,341.95,2056.22,42.29,76,41,10,1032.72,304.19
PV-Anlage,26.01.2024 16:00:00,42.41,617,23.08,16.39,2.94,619.23,2249.69,83.07,76,452,68,-1326.76,130.13
PV-Anlage,26.01.2024 17:00:00,80.44,618,25.52,15.66,39.26,1034.8,3149.05,52.16,79,678,92,-1962.72,457.75
PV-Anlage,26.01.2024 18:00:00,45.54,619,45.36,0.14,0.04,714.75,3209.79,17.54,14,921,36,-266.49,307.13
PV-Anlage,26.01.2024 19:00:00,5.63,620,3.1,0.75,1.78,1024.85,849.19,52.09,94,796,59,1510.03,425.25
PV-Anlage,26.01.2024 20:00:00,28.25,621,12.8,13.33,2.12,1505.71,1512.78,6.1,37,849,83,1186.98,330.48
PV-Anlage,26.01.2024 21:00:00,3.84,622,0.65,2.22,0.97,565.02,3245.81,9.66,61,945,76,877.16,408.98
PV-Anlage,26.01.2024 22:00:00,76.28,623,75.66,0.23,0.39,670.48,204.11,85.89,11,108,68,-620.68,471.58
PV-Anlage,26.01.2024 23:00:00,96.35,624,70.32,3.23,22.8,1018.89,2364.04,80.44,70,810,17,-1833.16,286.18
PV-Anlage,27.01.2024 00:00:00,72.6,625,34.87,30.14,7.59,506.06,2507.98,17.82,65,707,47,-6.42,388.65
PV-Anlage,27.01.2024 01:00:00,33.63,626,33.02,0.06,0.55,342.39,2503.5,62.73,51,970,37,-507.39,205.75
PV-Anlage,27.01.2024 02:00:00,75.67,627,34.26,18.43,22.98,1071.65,3284.09,81.36,79,463,83,1418.74,65.06
PV-Anlage,27.01.2024 03:00:00,84.67,628,73.93,1.82,8.92,84.76,2960.24,87.39,83,91,24,-1644.02,470.01
PV-Anlage,27.01.2024 04:00:00,96.23,629,60.43,27.73,8.07,1991.35,3649.58,49.77,100,303,81,-38.39,450.95
PV-Anlage,27.01.2024 05:00:00,91.1,630,31.95,39.72,19.43,1628.07,398.26,66.2,39,461,78,-1856.83,56.04
PV-Anlage,27.01.2024 06:00:00,35.22,631,12.48,17.5,5.24,1832.14,1825.93,82.71,66,239,32,780.5,460.3
PV-Anlage,27.01.2024 07:00:00,95.15,632,92.15,0.08,2.92,1184.32,3808.21,6.79,39,774,84,-1360.36,374.51
PV-Anlage,27.01.2024 08:00:00,5.72,633,2.01,1.97,1.74,1007.33,762.65,75.07,12,6,27,-1268.75,415.78
PV-Anlage,27.01.2024 09:00:00,17.84,634,14.68,0.92,2.24,25.78,430.09,5.38,16,842,87,-1370.74,329.88
PV-Anlage,27.01.2024 10:00:00,20.18,635,11.56,8.08,0.54,1635.12,2972.72,51.94,18,526,97,1932.33,252.29
PV-Anlage,27.01.2024 11:00:00,27.0,636,6.65,17.54,2.81,1044.43,2634.45,24.09,82,227,51,1056.8,128.61
PV-Anlage,27.01.2024 12:00:00,98.06,637,86.92,5.47,5.67,1355.33,714.27,6.26,94,299,11,-434.73,115.77
PV-Anlage,27.01.2024 13:00:00,10.82,638,3.73,0.44,6.65,1832.29,1714.98,78.47,22,290,6,-268.42,149.02
PV-Anlage,27.01.2024 14:00:00,92.15,639,49.64,5.81,36.7,1231.46,1637.97,97.82,100,35,0,1474.7,331.02
PV-Anlage,27.01.2024 15:00:00,40.39,640,35.6,3.75,1.04,643.04,908.32,75.52,81,830,49,357.31,393.31
PV-Anlage,27.01.2024 16:00:00,58.39,641,20.2,5.08,33.11,222.13,1969.73,19.26,83,369,70,1986.28,329.09
PV-Anlage,27.01.2024 17:00:00,53.91,642,6.3,23.24,24.37,876.28,863.27,91.07,72,22,36,160.61,486.09
PV-Anlage,27.01.2024 18:00:00,21.04,643,8.93,6.93,5.18,791.62,1709.17,37.15,87,414,78,-833.28,271.34
PV-Anlage,27.01.2024 19:00:00,91.34,644,75.2,15.94,0.2,1138.22,1772.15,99.47,59,216,94,-618.76,365.38
PV-Anlage,27.01.2024 20:00:00,20.8,645,12.18,3.91,4.71,1949.18,80.43,78.9,49,632,76,515.49,210.2
PV-Anlage,27.01.2024 21:00:00,21.73,646,20.1,0.23,1.4,1795.95,2610.42,68.19,61,163,53,-1798.3,255.42
PV-Anlage,27.01.2024 22:00:00,50.97,647,15.48,3.13,32.36,1316.29,2301.25,41.92,94,44,54,1435.72,182.92
PV-Anlage,27.01.2024 23:00:00,66.87,648,15.1,48.05,3.72,1385.67,370.97,52.49,45,194,93,-1220.02,325.99
PV-Anlage,28.01.2024 00:00:00,12.44,649,4.4,3.81,4.23,584.6,3207.42,41.99,23,716,15,906.2,193.56
PV-Anlage,28.01.2024 01:00:00,72.01,650,6.87,17.93,47.21,1522.18,86.93,90.18,81,15,11,1256.63,65.19
PV-Anlage,28.01.2024 02:00:00,65.39,651,12.58,21.81,31.0,416.66,1302.68,27.44,93,785,53,-739.4,148.21
PV-Anlage,28.01.2024 03:00:00,8.07,652,2.36,1.7,4.01,1053.79,399.61,61.66,51,754,22,1927.25,257.29
PV-Anlage,28.01.2024 04:00:00,32.33,653,28.92,0.75,2.66,1329.37,690.97,14.52,10,854,97,-1846.83,149.25
PV-Anlage,28.01.2024 05:00:00,63.03,654,32.11,1.75,29.17,487.72,453.76,57.37,83,618,55,-97.71,498.87
PV-Anlage,28.01.2024 06:00:00,33.31,655,3.8,3.7,25.81,1146.65,1729.98,9.81,71,911,22,1422.87,158.67
PV-Anlage,28.01.2024 07:00:00,83.61,656,75.08,6.85,1.68,972.9,466.95,44.4,81,334,83,135.68,225.7
PV-Anlage,28.01.2024 08:00:00,44.71,657,44.12,0.11,0.48,269.76,1889.71,4.18,77,702,40,1108.18,468.49
PV-Anlage,28.01.2024 09:00:00,28.42,658,25.64,0.88,1.9,1274.17,2973.37,82.84,88,1,66,-765.02,171.92
PV-Anlage,28.01.2024 10:00:00,25.13,659,14.99,2.65,7.49,34.03,3265.15,63.04,64,621,79,746.88,233.76
PV-Anlage,28.01.2024 11:00:00,1.92,660,0.16,1.11,0.65,1640.98,2072.63,10.01,67,525,52,457.1,400.3
PV-Anlage,28.01.2024 12:00:00,50.93,661,8.95,37.96,4.02,1849.5,2076.32,77.5,21,568,99,-709.77,154.05
PV-Anlage,28.01.2024 13:00:00,7.5,662,1.95,5.51,0.04,852.42,2970.41,50.39,35,49,14,561.91,349.75
PV-Anlage,28.01.2024 14:00:00,99.68,663,73.18,9.42,17.08,1011.32,539.81,31.01,100,775,82,1141.15,334.0
PV-Anlage,28.01.2024 15:00:00,77.75,664,27.85,39.44,10.46,307.92,29.11,52.5,30,74,89,216.35,146.45
PV-Anlage,28.01.2024 16:00:00,26.99,665,23.45,0.22,3.32,62.77,1861.66,82.37,39,85,28,-815.05,213.76
PV-Anlage,28.01.2024 17:00:00,19.37,666,11.59,3.07,4.71,1807.13,2016.79,90.89,24,61,88,273.06,375.39
PV-Anlage,28.01.2024 18:00:00,89.81,667,54.34,24.85,10.62,975.71,809.53,1.55,26,815,90,-418.43,350.8
PV-Anlage,28.01.2024 19:00:00,94.72,668,82.79,8.34,3.59,1330.17,2066.83,23.78,65,634,28,395.89,122.25
PV-Anlage,28.01.2024 20:00:00,82.22,669,17.75,33.51,30.96,1189.57,3262.5,61.24,22,457,23,1599.64,452.49
PV-Anlage,28.01.2024 21:00:00,55.89,670,11.17,1.59,43.13,1391.35,1242.15,50.48,32,173,54,36.64,328.7
PV-Anlage,28.01.2024 22:00:00,54.32,671,50.05,3.82,0.45,978.11,3669.56,47.31,98,236,29,1862.81,91.52
PV-Anlage,28.01.2024 23:00:00,5.32,672,0.26,0.01,5.05,1884.08,3425.74,35.59,73,197,23,-1937.56,394.6
PV-Anlage,29.01.2024 00:00:00,82.5,673,6.8,2.49,73.21,963.27,1738.12,1.86,83,757,37,-619.49,276.49
PV-Anlage,29.01.2024 01:00:00,79.44,674,9.42,33.62,36.4,306.3,2387.3,5.62,76,496,23,1662.84,462.04
PV-Anlage,29.01.2024 02:00:00,37.54,675,8.43,26.91,2.2,412.98,2565.15,89.17,66,248,70,666.99,428.57
PV-Anlage,29.01.2024 03:00:00,43.01,676,11.91,27.18,3.92,181.84,1407.07,42.35,46,98,96,-1895.6,448.77
PV-Anlage,29.01.2024 04:00:00,42.45,677,37.62,1.48,3.35,597.36,3663.2,87.92,56,853,65,-89.53,223.08
PV-Anlage,29.01.2024 05:00:00,66.44,678,3.14,23.94,39.36,1825.34,2947.78,51.69,33,0,43,-1176.97,133.68
PV-Anlage,29.01.2024 06:00:00,94.82,679,55.69,35.41,3.72,646.21,1130.24,97.32,48,353,23,1950.34,157.16
PV-Anlage,29.01.2024 07:00:00,38.21,680,16.72,7.02,14.47,1795.17,815.21,93.06,45,846,3,1611.46,162.37
PV-Anlage,29.01.2024 08:00:00,63.14,681,56.5,4.64,2.0,417.49,3705.49,7.44,48,36,70,-1017.74,257.94
PV-Anlage,29.01.2024 09:00:00,4.47,682,3.32,0.88,0.27,725.29,2619.27,90.98,11,298,45,-1781.11,445.08
PV-Anlage,29.01.2024 10:00:00,13.79,683,7.29,2.48,4.02,597.32,2713.76,1.79,14,957,52,-780.2,351.44
PV-Anlage,29.01.2024 11:00:00,54.91,684,13.38,32.85,8.68,1099.71,2553.0,77.53,11,761,24,367.04,499.44
PV-Anlage,29.01.2024 12:00:00,11.35,685,8.64,0.52,2.19,1173.85,3747.8,92.3,73,725,15,-227.43,95.38
PV-Anlage,29.01.2024 13:00:00,65.0,686,37.55,16.49,10.96,845.49,2164.28,81.07,99,332,33,-1476.86,287.64
PV-Anlage,29.01.2024 14:00:00,28.85,687,0.76,10.99,17.1,569.28,1878.89,24.82,71,402,18,1540.59,286.35
PV-Anlage,29.01.2024 15:00:00,92.7,688,48.76,10.61,33.33,420.58,323.94,91.99,84,715,15,-628.55,432.19
PV-Anlage,29.01.2024 16:00:00,20.3,689,18.96,0.2,1.14,74.74,3002.71,46.48,62,14,21,176.18,460.92
PV-Anlage,29.01.2024 17:00:00,57.2,690,56.16,0.96,0.08,789.67,1859.37,48.24,29,688,84,-1420.37,87.58
PV-Anlage,29.01.2024 18:00:00,38.81,691,33.69,4.92,0.2,1770.15,2105.42,5.82,95,206,90,598.62,281.29
PV-Anlage,29.01.2024 19:00:00,15.58,692,2.19,10.79,2.6,395.76,3554.14,32.0,56,156,50,-587.69,435.1
PV-Anlage,29.01.2024 20:00:00,22.6,693,9.13,3.02,10.45,353.22,768.61,68.33,72,202,6,1968.48,348.07
PV-Anlage,29.01.2024 21:00:00,41.87,694,34.12,6.28,1.47,1833.65,897.27,32.1,85,816,12,-127.49,112.72
PV-Anlage,29.01.2024 22:00:00,20.82,695,20.38,0.18,0.26,1948.65,2445.97,27.95,96,569,72,1294.82,270.67
PV-Anlage,29.01.2024 23:00:00,97.36,696,36.69,44.75,15.92,897.62,1272.07,41.24,70,830,87,382.58,57.19
PV-Anlage,30.01.2024 00:00:00,3.19,697,0.34,0.89,1.96,1480.71,1635.79,5.18,20,499,38,454.11,352.56
PV-Anlage,30.01.2024 01:00:00,94.41,698,76.82,9.93,7.66,400.62,3631.82,87.44,18,766,77,-1474.15,189.38
PV-Anlage,30.01.2024 02:00:00,48.81,699,35.93,3.13,9.75,801.61,2053.35,75.91,4,329,60,-1515.32,419.59
PV-Anlage,30.01.2024 03:00:00,96.6,700,91.33,4.64,0.63,1479.54,92.25,49.46,44,554,64,295.5,447.45
PV-Anlage,30.01.2024 04:00:00,4.27,701,3.31,0.25,0.71,1847.99,550.87,84.93,1,115,95,1499.26,152.46
PV-Anlage,30.01.2024 05:00:00,44.93,702,6.89,13.63,24.41,1237.99,1811.95,28.36,95,994,89,-1042.29,404.9
PV-Anlage,30.01.2024 06:00:00,50.21,703,22.89,6.3,21.02,1506.23,2043.83,91.9,99,63,7,-1839.9,118.54
PV-Anlage,30.01.2024 07:00:00,19.68,704,8.16,1.19,10.33,659.34,2690.52,70.79,40,950,9,118.77,265.55
PV-Anlage,30.01.2024 08:00:00,94.49,705,14.15,32.05,48.29,1466.58,2292.97,60.6,31,252,86,-831.97,178.24
PV-Anlage,30.01.2024 09:00:00,36.45,706,26.24,5.1,5.11,521.92,390.49,69.12,68,538,84,-520.78,313.19
PV-Anlage,30.01.2024 10:00:00,49.0,707,8.87,38.15,1.98,1732.3,1126.5,55.1,64,704,58,1092.47,222.53
PV-Anlage,30.01.2024 11:00:00,37.01,708,3.45,0.6,32.96,1764.26,2430.68,97.23,79,16,26,806.67,491.22
PV-Anlage,30.01.2024 12:00:00,66.47,709,18.59,17.71,30.17,995.67,2994.81,49.63,38,471,70,371.16,103.09
PV-Anlage,30.01.2024 13:00:00,40.42,710,12.49,6.4,21.53,1808.42,3125.74,65.55,50,112,78,-978.43,432.7
PV-Anlage,30.01.2024 14:00:00,34.83,711,33.35,0.17,1.31,1030.02,1081.04,68.73,87,567,15,1209.13,192.9
PV-Anlage,30.01.2024 15:00:00,47.27,712,36.16,9.49,1.62,878.52,3075.47,71.16,62,821,42,472.85,453.03
PV-Anlage,30.01.2024 16:00:00,40.77,713,26.5,6.19,8.08,383.44,1459.89,41.09,17,372,61,253.78,370.03
PV-Anlage,30.01.2024 17:00:00,78.4,714,5.04,22.91,50.45,120.19,2098.1,17.14,2,17,3,-472.88,337.43
PV-Anlage,30.01.2024 18:00:00,42.37,715,24.34,11.57,6.46,803.66,3444.02,74.2,39,492,30,-635.43,284.13
PV-Anlage,30.01.2024 19:00:00,49.42,716,17.56,8.01,23.85,1049.53,648.67,47.04,44,647,46,812.64,461.87
PV-Anlage,30.01.2024 20:00:00,12.71,717,0.03,8.44,4.24,217.7,2648.65,50.57,69,780,84,-448.33,199.24
